# BF Charge k_left k_right
1.000000000000000000e+02 0.000000000000000000e+00 6.924424805733445500e-09 7.293623878765374416e-09
1.000000000000000000e+02 1.000000000000000056e-01 8.132045379723024726e-09 1.237334421750786857e-09
1.000000000000000000e+02 2.000000000000000111e-01 7.158654633703840815e-10 -5.241999032560122046e-10
1.000000000000000000e+02 2.999999999999999889e-01 8.134596866771003624e-09 4.693866265367247361e-09
1.000000000000000000e+02 4.000000000000000222e-01 1.287232260655905719e-08 6.037445337770113383e-09
1.000000000000000000e+02 5.000000000000000000e-01 1.931270391554388726e-08 6.370112113094799615e-09
1.000000000000000000e+02 5.999999999999999778e-01 1.140613700541004942e-08 3.749602773022186353e-09
2.000000000000000000e+02 0.000000000000000000e+00 8.447353600923498870e-09 6.856873161757129870e-09
2.000000000000000000e+02 1.000000000000000056e-01 8.651999176668866302e-09 1.822089202775148784e-09
2.000000000000000000e+02 2.000000000000000111e-01 2.462815939998786205e-09 2.211222733322704804e-09
2.000000000000000000e+02 2.999999999999999889e-01 4.525414230658592118e-09 4.293451479104466426e-09
2.000000000000000000e+02 4.000000000000000222e-01 8.784240115317624586e-09 8.446359377590319383e-09
2.000000000000000000e+02 5.000000000000000000e-01 1.657734158819379986e-08 1.062484460107397088e-08
2.000000000000000000e+02 5.999999999999999778e-01 1.564838856893199983e-08 8.333698306488431353e-09
3.000000000000000000e+02 0.000000000000000000e+00 6.308792389916674565e-09 6.870345932603979690e-09
3.000000000000000000e+02 1.000000000000000056e-01 8.092650521710924671e-09 2.079796955352231264e-09
3.000000000000000000e+02 2.000000000000000111e-01 2.716118964311376447e-09 4.693342412481362784e-10
3.000000000000000000e+02 2.999999999999999889e-01 5.372261283842023297e-09 4.251359230655198361e-09
3.000000000000000000e+02 4.000000000000000222e-01 9.768171448322698818e-09 9.036242905934442186e-09
3.000000000000000000e+02 5.000000000000000000e-01 1.431322766632419544e-08 9.261624031347660104e-09
3.000000000000000000e+02 5.999999999999999778e-01 1.186302689632134953e-08 8.359516969888966350e-09
4.000000000000000000e+02 0.000000000000000000e+00 7.924362909946723013e-09 5.662096469289602723e-09
4.000000000000000000e+02 1.000000000000000056e-01 6.943400652396032074e-09 2.499820460316633302e-09
4.000000000000000000e+02 2.000000000000000111e-01 3.640716456750032773e-09 -2.250172643448795271e-10
4.000000000000000000e+02 2.999999999999999889e-01 6.714094533918594072e-09 5.149108349786523820e-09
4.000000000000000000e+02 4.000000000000000222e-01 1.127105640565141566e-08 9.698740730674515430e-09
4.000000000000000000e+02 5.000000000000000000e-01 1.768958765182244432e-08 7.869728669288960866e-09
4.000000000000000000e+02 5.999999999999999778e-01 1.923371799954119747e-08 5.294708918589072194e-09
