# Charge BF k_left k_right
0.000000000000000000e+00 0.000000000000000000e+00 7.237763318779499493e-09 7.023401565834462083e-09
1.000000000000000056e-01 0.000000000000000000e+00 7.187424084866985099e-09 4.122788096370417708e-09
2.000000000000000111e-01 0.000000000000000000e+00 1.194812123510439817e-09 2.639524200490840802e-09
2.999999999999999889e-01 0.000000000000000000e+00 1.276768513408311798e-08 7.836825865516493023e-09
4.000000000000000222e-01 0.000000000000000000e+00 1.474429862826385206e-08 6.003415109822166786e-09
5.000000000000000000e-01 0.000000000000000000e+00 1.474429862826385206e-08 6.003415109822166786e-09
5.999999999999999778e-01 0.000000000000000000e+00 1.233181953657320800e-08 7.249023514966207087e-09
0.000000000000000000e+00 1.000000000000000000e+02 5.909533851766762610e-09 8.637071798237264456e-09
1.000000000000000056e-01 1.000000000000000000e+02 6.760912453235520614e-09 4.797180169418598637e-09
2.000000000000000111e-01 1.000000000000000000e+02 3.153531923764128638e-09 1.559727068645366767e-09
2.999999999999999889e-01 1.000000000000000000e+02 5.347014646734766114e-09 7.461872459336912787e-09
4.000000000000000222e-01 1.000000000000000000e+02 1.105949905798947555e-08 9.359948105892850337e-09
5.000000000000000000e-01 1.000000000000000000e+02 1.613744341144804723e-08 9.052297028704920188e-09
5.999999999999999778e-01 1.000000000000000000e+02 1.317386264899951456e-08 9.214531078304249839e-09
0.000000000000000000e+00 2.000000000000000000e+02 7.363076559634706859e-09 9.732517546901278293e-09
1.000000000000000056e-01 2.000000000000000000e+02 7.703600250681935792e-09 5.070058813887132255e-09
2.000000000000000111e-01 2.000000000000000000e+02 3.449989854351256173e-09 2.626247461244824063e-09
2.999999999999999889e-01 2.000000000000000000e+02 5.317780510474768803e-09 5.880502535756482656e-09
4.000000000000000222e-01 2.000000000000000000e+02 7.940922675468819026e-09 9.060274967918489525e-09
5.000000000000000000e-01 2.000000000000000000e+02 1.428153353602300459e-08 1.116739411320870613e-08
5.999999999999999778e-01 2.000000000000000000e+02 1.173513479965650712e-08 9.764583872133064166e-09
0.000000000000000000e+00 3.000000000000000000e+02 8.502772267666888251e-09 8.840576069357842068e-09
1.000000000000000056e-01 3.000000000000000000e+02 5.968822690003736645e-09 3.452183024397716248e-09
2.000000000000000111e-01 3.000000000000000000e+02 4.407555406979908217e-09 3.160578536817024273e-09
2.999999999999999889e-01 3.000000000000000000e+02 6.959317111381751925e-09 6.840889611945626470e-09
4.000000000000000222e-01 3.000000000000000000e+02 9.365132878022394282e-09 1.116144348257404303e-08
5.000000000000000000e-01 3.000000000000000000e+02 1.222028962310466088e-08 1.060755789745070325e-08
5.999999999999999778e-01 3.000000000000000000e+02 1.284714395748280277e-08 5.505609739776808116e-09
0.000000000000000000e+00 4.000000000000000000e+02 6.154646024908644947e-09 7.471239684387799578e-09
1.000000000000000056e-01 4.000000000000000000e+02 6.225693718698265313e-09 3.945189025978371238e-09
2.000000000000000111e-01 4.000000000000000000e+02 3.441715500907254378e-09 2.132119893447383978e-09
2.999999999999999889e-01 4.000000000000000000e+02 5.595097941441794594e-09 4.923655145451203984e-09
4.000000000000000222e-01 4.000000000000000000e+02 1.091374571388182047e-08 1.096721506193244075e-08
5.000000000000000000e-01 4.000000000000000000e+02 1.488026270970826574e-08 1.101835710937081927e-08
5.999999999999999778e-01 4.000000000000000000e+02 1.677396939257951363e-08 1.226096615529247663e-08
