# Kapitza k_left k_right peak_denL peak_denLz peak_denR peak_denRz bulk_den Qtotal
6.628516921662443551e+00 7.369621686236681744e-09 5.887412157088204040e-09 4.603480000000000238e+00 -4.428000000000000114e+01 3.584729999999999972e+00 -4.478000000000000114e+01 1.481803386809269041e+00 -1.792396287444105688e-06
2.569363521093500857e+00 3.630469024536775833e-09 1.508258017650226163e-09 5.045309999999999739e+00 -4.428000000000000114e+01 3.007740000000000080e+00 -4.478000000000000114e+01 1.482734973262032074e+00 -1.874293675938206330e-06
8.669083856985910330e+00 1.211629705118442205e-08 5.221870662787398822e-09 7.184040000000000425e+00 -4.488000000000000256e+01 3.468789999999999818e+00 -4.438000000000000256e+01 1.481527147950089107e+00 -1.644922408397851893e-06
9.809526909911083337e+00 1.418440895604688085e-08 5.434644863775286540e-09 7.608229999999999826e+00 -4.497999999999999687e+01 4.345349999999999824e+00 -4.507999999999999829e+01 1.463658039215686379e+00 -1.577729438282433825e-06
7.367280463497294818e+00 7.977820243290422212e-09 6.756740683704167005e-09 9.032819999999999183e+00 -4.507999999999999829e+01 5.757369999999999877e+00 -4.507999999999999829e+01 1.439611871657754172e+00 -1.608465121364740791e-06
1.885712238509416050e+00 2.404004405670353423e-09 1.367420071348478438e-09 9.836090000000000444e+00 -4.364999999999999858e+01 7.348169999999998758e+00 -4.375000000000000000e+01 1.455055620567375918e+00 -3.553095705275228007e-06
4.609250992844003747e+00 5.098244449169641915e-09 4.120257536518366402e-09 3.393029999999999990e+00 -3.896000000000000085e+01 3.223539999999999850e+00 -3.965999999999999659e+01 1.466913066666666765e+00 -1.948323012972682330e-06
1.737323114864607110e+00 2.269517585096634271e-09 1.205128644632580037e-09 4.394180000000000419e+00 -3.906000000000000227e+01 2.830340000000000078e+00 -3.965999999999999659e+01 1.460057752380952367e+00 -2.104595985924735812e-06
5.521627453202960112e+00 5.084446071624005167e-09 5.958808834781915799e-09 4.327880000000000393e+00 -4.010000000000000142e+01 3.451369999999999827e+00 -3.920000000000000284e+01 1.453237847619047729e+00 -1.840298786595523903e-06
9.185836308210692636e+00 9.973718565005234279e-09 8.397954051416149325e-09 5.082390000000000185e+00 -3.950000000000000000e+01 3.701299999999999812e+00 -3.989999999999999858e+01 1.442560666666666602e+00 -1.615626805368322721e-06
1.142517381983969749e+01 1.579010195108392723e-08 7.060245688595468751e-09 5.176249999999999574e+00 -4.010000000000000142e+01 5.444519999999999804e+00 -4.000000000000000000e+01 1.428602457142857274e+00 -1.539771561143645698e-06
9.408278500942891753e+00 1.127238126698407424e-08 7.544175734901710701e-09 5.015049999999999564e+00 -3.849000000000000199e+01 6.730620000000000047e+00 -3.909000000000000341e+01 1.454413450292397769e+00 -1.667727931197762001e-06
5.166615882603855070e+00 6.374994838971887475e-09 3.958236926235822336e-09 2.860339999999999883e+00 -3.600999999999999801e+01 3.210550000000000015e+00 -3.550999999999999801e+01 1.391037983193277094e+00 -2.207631894816465345e-06
3.667221609769705459e+00 3.727592900684547835e-09 3.606850318854862728e-09 4.131709999999999994e+00 -3.490999999999999659e+01 2.885489999999999888e+00 -3.500999999999999801e+01 1.391625693277310782e+00 -2.317533039020550224e-06
5.567271646336398483e+00 4.813016685458691098e-09 6.321526607214105102e-09 4.058209999999999873e+00 -3.609000000000000341e+01 3.522829999999999906e+00 -3.499000000000000199e+01 1.387959073684210676e+00 -2.155224080946349071e-06
9.846900867193191687e+00 9.459179740468575568e-09 1.023462199391780939e-08 4.331610000000000404e+00 -3.628999999999999915e+01 3.858569999999999833e+00 -3.568999999999999773e+01 1.383708294736841982e+00 -1.841556560949322813e-06
1.194391102137123539e+01 1.394394269782891287e-08 9.943879344913557219e-09 5.313080000000000247e+00 -3.639000000000000057e+01 5.107140000000000235e+00 -3.578999999999999915e+01 1.373707221052631322e+00 -1.697115578328497369e-06
9.144438443680826367e+00 1.101594922517047195e-08 7.272927662191179055e-09 6.379660000000000331e+00 -3.590999999999999659e+01 6.960829999999999629e+00 -3.521000000000000085e+01 1.370554957264957130e+00 -1.804599805731359673e-06
5.548537647837648912e+00 6.455061943115861773e-09 4.642013352559435381e-09 2.954979999999999940e+00 -3.132000000000000028e+01 3.246280000000000054e+00 -3.082000000000000028e+01 1.335410190476190584e+00 -2.594220074096952505e-06
1.980970573899449194e+00 2.656579343779767789e-09 1.305361804019130889e-09 3.977240000000000109e+00 -3.151999999999999957e+01 2.890820000000000167e+00 -3.082000000000000028e+01 1.342081357142857145e+00 -2.814042176407735585e-06
4.151210704242022764e+00 2.678110142004787370e-09 5.624311266479257987e-09 4.892809999999999881e+00 -3.144000000000000128e+01 3.571499999999999897e+00 -3.023999999999999844e+01 1.323427248803827672e+00 -2.465401636345619240e-06
1.044438341908085910e+01 9.696961741768147651e-09 1.119180509639356960e-08 5.755659999999999776e+00 -3.153999999999999915e+01 4.051199999999999690e+00 -3.094000000000000128e+01 1.318797440191387560e+00 -2.080869348520042272e-06
1.232204482155038683e+01 1.208803810913456313e-08 1.255605153396620972e-08 6.815599999999999881e+00 -3.164000000000000057e+01 4.846230000000000260e+00 -3.103999999999999915e+01 1.310801244019138778e+00 -2.057555407399317719e-06
9.311480433433866111e+00 1.150630061490943800e-08 7.116660251958295700e-09 8.995879999999997878e+00 -3.112000000000000099e+01 6.888560000000000016e+00 -3.051999999999999957e+01 1.308818980582524327e+00 -2.079413883506015802e-06
5.314225249330375433e+00 5.712923167669046820e-09 4.915527330991703713e-09 2.907059999999999977e+00 -2.719000000000000128e+01 3.368279999999999941e+00 -2.658999999999999986e+01 1.231067382920110198e+00 -3.058985362354402299e-06
3.696797887874077482e+00 4.572747356940297150e-09 2.820848418807857196e-09 4.390170000000000350e+00 -2.728999999999999915e+01 3.010790000000000077e+00 -2.608999999999999986e+01 1.233121377410468344e+00 -3.228117250810280777e-06
5.784751176868876854e+00 4.876685495470938253e-09 6.692816858266816864e-09 6.205210000000000115e+00 -2.719000000000000128e+01 3.643899999999999917e+00 -2.598999999999999844e+01 1.228313878116343627e+00 -2.803126088615184867e-06
-9.004960380259888097e+00 -1.114957944813862494e-08 -6.860341312381152876e-09 7.061980000000000146e+00 -2.719000000000000128e+01 3.912799999999999834e+00 -2.678999999999999915e+01 1.227112889196675827e+00 -2.661273367013545213e-06
1.449253074523632101e+01 1.696863823184687553e-08 1.201642325862576659e-08 9.057340000000001723e+00 -2.728999999999999915e+01 5.003960000000000186e+00 -2.678999999999999915e+01 1.208660000000000068e+00 -2.113247776523253789e-06
1.531231388720931008e+01 1.914981928268460811e-08 1.147480849173401427e-08 1.063509999999999955e+01 -2.685000000000000142e+01 6.579710000000000392e+00 -2.625000000000000000e+01 1.194751288135593281e+00 -2.154186476807243280e-06
